1,AS/1,AS/1/ID,AS/1/LABEL,AS/2,AS/2/ID,AS/2/LABEL,AS/3,AS/3/ID,AS/3/LABEL,AS/4,AS/4/ID,AS/4/LABEL,AS/5,AS/5/ID,AS/5/LABEL,AS/6,AS/6/ID,AS/6/LABEL,AS/7,AS/7/ID,AS/7/LABEL,AS/8,AS/8/ID,AS/8/LABEL,AS/9,AS/9/ID,AS/9/LABEL,AS/10,AS/10/ID,AS/10/LABEL,AS/11,AS/11/ID,AS/11/LABEL,AS/12,AS/12/ID,AS/12/LABEL,CT/1 - Sources,BGene/1,NV notes
34,cell,CL:0000000,cell,endothelial cell,CL:0000115,endothelial cell,endothelial cell of vascular tree,CL:0002139,endothelial cell of vascular tree,blood vessel endothelial cell,CL:0000071,blood vessel endothelial cell,microvascular endothelial cell,CL:2000008,microvascular endothelial cell,capillary endothelial cell,CL:0002144,capillary endothelial cell,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
35,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,renal intercalated cell,CL:0005010,renal intercalated cell,renal alpha-intercalated cell,CL:0005011,renal alpha-intercalated cell,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
36,cell,CL:0000000,cell,connective tissue cell,CL:0002320,connective tissue cell,stromal cell,CL:0000499,stromal cell,fibroblast,CL:0000057,fibroblast,kidney interstitial fibroblast,CL:1000692,kidney interstitial fibroblast,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
37,cell,CL:0000000,cell,precursor cell,CL:0011115,precursor cell,stem cell,CL:0000034,stem cell,multi fate stem cell,CL:0000048,multi fate stem cell,mesenchymal stem cell,CL:0000134,mesenchymal stem cell,mesenchymal stem cell of adipose tissue,CL:0002570,mesenchymal stem cell of adipose tissue,mesenchymal stem cell of abdominal adipose tissue,CL:2000080,mesenchymal stem cell of abdominal adipose tissue,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
38,cell,CL:0000000,cell,neural cell,CL:0002319,neural cell,neuron,CL:0000540,neuron,central nervous system neuron,CL:2000029,central nervous system neuron,interneuron,CL:0000099,interneuron,medial ganglionic eminence derived interneuron,CL:4023063,medial ganglionic eminence derived interneuron,pvalb GABAergic interneuron,CL:4023018,pvalb GABAergic interneuron,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
39,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,squamous epithelial cell,CL:0000076,squamous epithelial cell,kidney loop of Henle short descending thin limb epithelial cell,CL:4030012,kidney loop of Henle short descending thin limb epithelial cell,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
40,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,nephron tubule epithelial cell,CL:1000494,nephron tubule epithelial cell,kidney loop of Henle epithelial cell,CL:1000909,kidney loop of Henle epithelial cell,kidney loop of Henle descending limb epithelial cell,CL:1001021,kidney loop of Henle descending limb epithelial cell,kidney loop of Henle thin descending limb epithelial cell,CL:1001111,kidney loop of Henle thin descending limb epithelial cell,kidney loop of Henle long descending thin limb outer medulla epithelial cell,CL:4030013,kidney loop of Henle long descending thin limb outer medulla epithelial cell,,,,,,,,,,azimuth,sc_transcriptomics,
41,cell,CL:0000000,cell,endothelial cell,CL:0000115,endothelial cell,endothelial cell of vascular tree,CL:0002139,endothelial cell of vascular tree,blood vessel endothelial cell,CL:0000071,blood vessel endothelial cell,vein endothelial cell,CL:0002543,vein endothelial cell,vein endothelial cell of respiratory system,CL:4033008,vein endothelial cell of respiratory system,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
42,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,myeloid leukocyte,CL:0000766,myeloid leukocyte,macrophage,CL:0000235,macrophage,lung macrophage,CL:1001603,lung macrophage,lung interstitial macrophage,CL:4033043,lung interstitial macrophage,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
43,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,respiratory tract epithelial cell,CL:0002368,respiratory tract epithelial cell,epithelial cell of lower respiratory tract,CL:0002632,epithelial cell of lower respiratory tract,epithelial cell of lung,CL:0000082,epithelial cell of lung,pulmonary alveolar epithelial cell,CL:0000322,pulmonary alveolar epithelial cell,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell,cycling pulmonary alveolar type 2 cell,CL:4033080,cycling pulmonary alveolar type 2 cell,,,,,,,,,,azimuth,sc_transcriptomics,
44,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
45,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,myeloid leukocyte,CL:0000766,myeloid leukocyte,macrophage,CL:0000235,macrophage,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
46,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,mononuclear phagocyte,CL:0000113,mononuclear phagocyte,dendritic cell,CL:0000451,dendritic cell,follicular dendritic cell,CL:0000442,follicular dendritic cell,,,,,,,,,,,,,,,,vccf,sc_proteomics,
47,cell,CL:0000000,cell,connective tissue cell,CL:0002320,connective tissue cell,stromal cell,CL:0000499,stromal cell,fibroblast,CL:0000057,fibroblast,hepatic stellate cell,CL:0000632,hepatic stellate cell,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
48,cell,CL:0000000,cell,muscle cell,CL:0000187,muscle cell,striated muscle cell,CL:0000737,striated muscle cell,cardiac muscle cell,CL:0000746,cardiac muscle cell,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
49,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,mature T cell,CL:0002419,mature T cell,mature alpha-beta T cell,CL:0000791,mature alpha-beta T cell,mature NK T cell,CL:0000814,mature NK T cell,,,,,,,,,,azimuth,sc_transcriptomics,
50,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,lymphocyte of B lineage,CL:0000945,lymphocyte of B lineage,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
51,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,mononuclear phagocyte,CL:0000113,mononuclear phagocyte,dendritic cell,CL:0000451,dendritic cell,"dendritic cell, human",CL:0001056,"dendritic cell, human",,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
52,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,respiratory tract epithelial cell,CL:0002368,respiratory tract epithelial cell,epithelial cell of lower respiratory tract,CL:0002632,epithelial cell of lower respiratory tract,epithelial cell of lung,CL:0000082,epithelial cell of lung,pulmonary alveolar epithelial cell,CL:0000322,pulmonary alveolar epithelial cell,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell,,,,,,,,,,,,,azimuth,sc_transcriptomics,
53,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,secretory epithelial cell,CL:1100001,secretory epithelial cell,glandular secretory epithelial cell,CL:0000150,glandular secretory epithelial cell,acinar cell,CL:0000622,acinar cell,pancreatic acinar cell,CL:0002064,pancreatic acinar cell,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
54,cell,CL:0000000,cell,muscle cell,CL:0000187,muscle cell,striated muscle cell,CL:0000737,striated muscle cell,cardiac muscle cell,CL:0000746,cardiac muscle cell,regular cardiac myocyte,CL:0002098,regular cardiac myocyte,regular atrial cardiac myocyte,CL:0002129,regular atrial cardiac myocyte,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
55,cell,CL:0000000,cell,endothelial cell,CL:0000115,endothelial cell,endothelial cell of vascular tree,CL:0002139,endothelial cell of vascular tree,blood vessel endothelial cell,CL:0000071,blood vessel endothelial cell,vein endothelial cell,CL:0002543,vein endothelial cell,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
56,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,hematopoietic precursor cell,CL:0008001,hematopoietic precursor cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
57,cell,CL:0000000,cell,neural cell,CL:0002319,neural cell,neuron,CL:0000540,neuron,central nervous system neuron,CL:2000029,central nervous system neuron,interneuron,CL:0000099,interneuron,cortical interneuron,CL:0008031,cortical interneuron,cerebral cortex GABAergic interneuron,CL:0010011,cerebral cortex GABAergic interneuron,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
58,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,nephron tubule epithelial cell,CL:1000494,nephron tubule epithelial cell,epithelial cell of distal tubule,CL:0002305,epithelial cell of distal tubule,kidney loop of Henle ascending limb epithelial cell,CL:1001016,kidney loop of Henle ascending limb epithelial cell,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,kidney loop of Henle thick ascending limb epithelial cell,kidney loop of Henle medullary thick ascending limb epithelial cell,CL:1001108,kidney loop of Henle medullary thick ascending limb epithelial cell,,,,,,,,,,azimuth,sc_transcriptomics,
59,cell,CL:0000000,cell,endothelial cell,CL:0000115,endothelial cell,endothelial cell of vascular tree,CL:0002139,endothelial cell of vascular tree,blood vessel endothelial cell,CL:0000071,blood vessel endothelial cell,microvascular endothelial cell,CL:2000008,microvascular endothelial cell,vasa recta cell,CL:1001036,vasa recta cell,vasa recta descending limb cell,CL:1001285,vasa recta descending limb cell,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
60,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,nephron tubule epithelial cell,CL:1000494,nephron tubule epithelial cell,epithelial cell of proximal tubule,CL:0002306,epithelial cell of proximal tubule,brush border cell of the proximal tubule,CL:0002307,brush border cell of the proximal tubule,kidney proximal convoluted tubule epithelial cell,CL:1000838,kidney proximal convoluted tubule epithelial cell,epithelial cell of proximal tubule segment 1,CL:4030009,epithelial cell of proximal tubule segment 1,,,,,,,,,,azimuth,sc_transcriptomics,
61,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,nephron tubule epithelial cell,CL:1000494,nephron tubule epithelial cell,epithelial cell of proximal tubule,CL:0002306,epithelial cell of proximal tubule,kidney proximal straight tubule epithelial cell,CL:1000839,kidney proximal straight tubule epithelial cell,epithelial cell of proximal tubule segment 3,CL:4030011,epithelial cell of proximal tubule segment 3,,,,,,,,,,,,,azimuth,sc_transcriptomics,
62,cell,CL:0000000,cell,connective tissue cell,CL:0002320,connective tissue cell,stromal cell,CL:0000499,stromal cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
